ID	year	source	details
r120965	1992	Cryptog.: Algol.	13: 274, figs. 1-4
r130565	1887	Malpighia	1: 518, pl. XII: figs. 1-10
r130558	1926	Skr. Norske Vidensk.-Akad. Oslo, Mat.-naturv. Kl.,	1926{5}: 233, pl. VII: figs. 105-114
r144852	1996	Darwiniana	34: 279, fig. 2B
r129990	1984	The marine benthic flora of southern Australia. Part I:	131, figs. 41D,E
r130566	1887	Malpighia	1: 522
r140670	2010	Algol. Studies	133: 37, fig. 9
r138115	2008	Diatom Research	23: 163, figs. 1-9
r120988	2006	Diatom Research	21: 114
r120989	2006	Diatom Research	21: 114, figs. 20,21, 24-27
r137969	2011	Phytotaxa	22: 32, figs. 5, 6
r138116	2008	Diatom Research	23: 163, figs. 10-17
r120990	2006	Diatom Research	21: 115, figs. 10-12, 28-31
r157263	1995	Canadian Field-Naturalist	109: 73
r137970	2011	Phytotaxa	22: 34, figs. 7, 8
r150365	1993	J. Paleolimnol.	9: 59
r138780	2013	Phytotaxa	125: 3, figs. 2-27
r120991	2006	Diatom Research	21: 117, figs. 13-15, 19, 32-35
r148958	2016	Phytotaxa	244: 167, figs. 35-51
r148957	2016	Phytotaxa	244: 166, figs. 19-34
r120992	2006	Diatom Research	21: 118
r141889	2014	Beih. Nova Hedwigia	143: 118, figs. 31-42
r148956	2016	Phytotaxa	244: 163, figs. 1-18
r132006	1890	Ann. Bot.	5: 73
r139617	1947	Farlowia	3: 25
r123754	1902	J. Bot. [London]	40(suppl.): 14
r130560	1937	Lunds Univ. &Aring;rsskr., N.F., Avd. 2,	33{8}: 30, fig. 2e-k
r139609	1874	Nova Acta R. Soc. Sc. Upsal., ser. 3,	9{1}: 4
r120969	1966	Natl. Mus. Canada Bull.	207: 80
r139610	1893	Medd. Gr&oslash;nland	3: 920
r120970	1900	Amer. Alg.	4: no. 381
r120971	1989	J. Protozool.	36: 104, figs. 1-11
r152526	1891	Rev. Gen. Pl.	2: 924
r123620	1891	Rev. Gen. Pl.	2: 925
r120972	1891	Rev. Gen. Pl.	2: 926
r156188	1907	Wiss. Ergeb. Schwed. S&uuml;dpolar-Exped. 1901-1903	4{6}: 36, figs. 34, 35
r146813	1960	Schweiz. Z. Hydrol.	22: 100
r120973	1825	Encycl. M&eacute;th., Hist. Nat. Zooph.:	521
r120974	1831	Symb. Phys.	4 (Anim. Evertebr.): [23]
r150372	2016	Notulae algarum	5: 1
r120994	1869	Bot. Zeit.	27: 779
r153638	2014	J. Pl. Research	128: 255, figs. 1-3
r120995	1969	Univ. Kansas Paleontol. Contrib.	51: 55, pl. 31: figs. 6-9
r120996	1969	Univ. Kansas Paleontol. Contrib.	51: 56, pl. 32: figs. 1-3
r120997	1992	J. Micropalaeontol.	11: 70
