nameID	relatedNameID	type
148080	595108	basionym
146796	146795	basionym
157464	126864	basionym
142678	142679	basionym
142681	142682	basionym
137854	146684	basionym
137853	137851	basionym
137855	133963	basionym
138431	101453	basionym
137850	137851	basionym
143222	137103	basionym
143222	143222-alt	spelling correction
100695	113663	basionym
152676	103382	basionym
132110	132104	basionym
132197	132193	basionym
124608	126784	basionym
100698	110737	basionym
100702	100702-alt	spelling correction
124612	126331	basionym
156919	126864	basionym
156916	111908	basionym
100710	110737	basionym
100711	110737	basionym
101584	113848	basionym
133284	111379	basionym
133284	133284-alt	spelling correction
157562	102207	basionym
124616	124933	basionym
157563	102209	basionym
157564	117423	basionym
157566	102217	basionym
157567	124937	basionym
157568	124938	basionym
157569	118203	basionym
157570	515077	basionym
157571	124940	basionym
157572	102231	basionym
157573	128845	basionym
157574	633463	basionym
157575	127552	basionym
157576	102238	basionym
157577	117426	basionym
157578	102244	basionym
157579	102248	basionym
157580	128745	basionym
157582	102260	basionym
157583	102259	basionym
132342	132305	basionym
121884	121885	basionym
121884	121884-alt	spelling correction
100732	103842	basionym
132121	132113	basionym
132251	132235	basionym
135223	135224	basionym
151700	151700-alt	spelling correction
101628	109673	basionym
100754	123115	basionym
101627	109673	basionym
100756	100761	basionym
149827	149827-alt	spelling correction
149850	149850-alt	spelling correction
121612	121610	basionym
100769	660272	basionym
100770	660222	basionym
100771	660352	basionym
100772	660547	basionym
100773	660215	basionym
100774	660592	basionym
100775	660633	basionym
100776	660638	basionym
100777	660639	basionym
100777	100777-alt	spelling correction
100778	660216	basionym
100779	660676	basionym
100780	154443	basionym
100781	660853	basionym
152363	152363-alt	spelling correction
100786	104151	basionym
100787	102033	basionym
124619	129034	basionym
100800	100796	basionym
100805	100805-alt	spelling correction
100807	100804	basionym
100808	100805	basionym
100809	100809-alt	spelling correction
152362	152363	basionym
100823	100823-alt	spelling correction
123203	123203-alt	spelling correction
124621	104185	basionym
124623	124639	basionym
121912	121912-alt	spelling correction
121921	121921-alt	spelling correction
124629	126066	basionym
121963	121962	basionym
124632	126117	basionym
142662	142662-alt	spelling correction
124637	126073	basionym
124644	126078	basionym
124645	126069	basionym
124648	108629	basionym
133362	133637	basionym
121942	121942-alt	spelling correction
124657	124657-alt	spelling correction
123213	123210	basionym
124658	103267	basionym
133363	133639	basionym
124661	126109	basionym
123224	123224-alt	spelling correction
124664	126110	basionym
124665	126113	basionym
121984	121912	basionym
121985	121930	basionym
121986	121942	basionym
124668	126269	basionym
100842	660241	basionym
100843	100843-alt	spelling correction
100844	660262	basionym
100844	100844-alt	spelling correction
100845	660315	basionym
100846	660229	basionym
100847	158349	basionym
100848	660333	basionym
100849	660353	basionym
100850	660381	basionym
100851	660388	basionym
100852	660389	basionym
100853	120345	basionym
100854	145389	basionym
100855	136874	basionym
100856	149304	basionym
100857	660623	basionym
100858	660655	basionym
100859	660661	basionym
100860	660663	basionym
100861	660690	basionym
100863	660753	basionym
100865	660804	basionym
100866	660805	basionym
100867	660836	basionym
100868	660847	basionym
100869	660850	basionym
150681	150682	basionym
100870	120380	basionym
100871	660220	basionym
100872	660991	basionym
100873	661049	basionym
100874	661093	basionym
157584	505191	basionym
157585	511689	basionym
157586	506392	basionym
157587	511695	basionym
138151	505360	basionym
